audit_field,group,reference_group,metric,records,successes,denominator,rate,ci_95_low,ci_95_high,eligible_for_comparison
age,[0-10),[70-80),human_review_flag_rate,44,0,44,0.0,0.0,0.08029560375848066,False
age,[0-10),[70-80),true_positive_rate,44,0,0,,,,False
age,[0-10),[70-80),false_positive_rate,44,0,44,0.0,0.0,0.08029560375848066,False
age,[10-20),[70-80),human_review_flag_rate,140,0,140,0.0,1.734723475976807e-18,0.026706200369412993,False
age,[10-20),[70-80),true_positive_rate,140,0,2,0.0,0.0,0.6576197724933469,False
age,[10-20),[70-80),false_positive_rate,140,0,138,0.0,1.734723475976807e-18,0.027082764465572957,False
age,[20-30),[70-80),human_review_flag_rate,285,0,285,0.0,0.0,0.01329954098825824,False
age,[20-30),[70-80),true_positive_rate,285,0,25,0.0,1.3877787807814457e-17,0.13319225093904846,False
age,[20-30),[70-80),false_positive_rate,285,0,260,0.0,0.0,0.014559724001923326,False
age,[30-40),[70-80),human_review_flag_rate,697,0,697,0.0,0.0,0.005481209440945671,True
age,[30-40),[70-80),true_positive_rate,697,0,47,0.0,-6.938893903907228e-18,0.07555760416399632,False
age,[30-40),[70-80),false_positive_rate,697,0,650,0.0,0.0,0.005875214501727682,True
age,[40-50),[70-80),human_review_flag_rate,1669,0,1669,0.0,0.0,0.002296367537066092,True
age,[40-50),[70-80),true_positive_rate,1669,0,113,0.0,0.0,0.03287753216595198,False
age,[40-50),[70-80),false_positive_rate,1669,0,1556,0.0,0.0,0.0024627238870791584,True
age,[50-60),[70-80),human_review_flag_rate,3094,0,3094,0.0,0.0,0.001240043711648341,True
age,[50-60),[70-80),true_positive_rate,3094,0,220,0.0,0.0,0.01716151619513562,True
age,[50-60),[70-80),false_positive_rate,3094,0,2874,0.0,0.0,0.0013348403223950739,True
age,[60-70),[70-80),human_review_flag_rate,3921,0,3921,0.0,0.0,0.0009787551576282973,True
age,[60-70),[70-80),true_positive_rate,3921,0,346,0.0,0.0,0.010980570552282673,True
age,[60-70),[70-80),false_positive_rate,3921,0,3575,0.0,0.0,0.0010733805520292505,True
age,[70-80),[70-80),human_review_flag_rate,4386,0,4386,0.0,0.0,0.0008750791701088248,True
age,[70-80),[70-80),true_positive_rate,4386,0,468,0.0,0.0,0.008141418582197817,True
age,[70-80),[70-80),false_positive_rate,4386,0,3918,0.0,0.0,0.0009795038532356328,True
age,[80-90),[70-80),human_review_flag_rate,2842,0,2842,0.0,0.0,0.001349849904248008,True
age,[80-90),[70-80),true_positive_rate,2842,0,309,0.0,8.673617379884035e-19,0.012279251078725687,True
age,[80-90),[70-80),false_positive_rate,2842,0,2533,0.0,0.0,0.0015142683857271519,True
age,[90-100),[70-80),human_review_flag_rate,420,0,420,0.0,0.0,0.009063433368181313,False
age,[90-100),[70-80),true_positive_rate,420,0,42,0.0,-6.938893903907228e-18,0.08379879086570391,False
age,[90-100),[70-80),false_positive_rate,420,0,378,0.0,0.0,0.01006035026306037,False
gender,Female,Female,human_review_flag_rate,9261,0,9261,0.0,0.0,0.00041462758297248814,True
gender,Female,Female,true_positive_rate,9261,0,840,0.0,0.0,0.004552346629262249,True
gender,Female,Female,false_positive_rate,9261,0,8421,0.0,0.0,0.0004559680843218919,True
gender,Male,Female,human_review_flag_rate,8237,0,8237,0.0,0.0,0.0004661488562654447,True
gender,Male,Female,true_positive_rate,8237,0,732,0.0,0.0,0.0052204979410248094,True
gender,Male,Female,false_positive_rate,8237,0,7505,0.0,0.0,0.0005115914141696964,True
race,AfricanAmerican,Caucasian,human_review_flag_rate,3069,0,3069,0.0,-1.0842021724855044e-19,0.0012501324497777421,True
race,AfricanAmerican,Caucasian,true_positive_rate,3069,0,280,0.0,8.673617379884035e-19,0.013533818620629409,True
race,AfricanAmerican,Caucasian,false_positive_rate,3069,0,2789,0.0,-1.0842021724855044e-19,0.0013754661255695557,True
race,Asian,Caucasian,human_review_flag_rate,110,0,110,0.0,0.0,0.033743935298164184,False
race,Asian,Caucasian,true_positive_rate,110,0,11,0.0,0.0,0.2588329669680317,False
race,Asian,Caucasian,false_positive_rate,110,0,99,0.0,0.0,0.03735321206782739,False
race,Caucasian,Caucasian,human_review_flag_rate,13170,0,13170,0.0,0.0,0.0002915974685669254,True
race,Caucasian,Caucasian,true_positive_rate,13170,0,1188,0.0,0.0,0.003223129043098719,True
race,Caucasian,Caucasian,false_positive_rate,13170,0,11982,0.0,2.710505431213761e-20,0.0003204997190970764,True
race,Hispanic,Caucasian,human_review_flag_rate,372,0,372,0.0,0.0,0.010220955486783598,False
race,Hispanic,Caucasian,true_positive_rate,372,0,33,0.0,0.0,0.10426999754245206,False
race,Hispanic,Caucasian,false_positive_rate,372,0,339,0.0,0.0,0.011204767456969683,False
race,Other,Caucasian,human_review_flag_rate,286,0,286,0.0,0.0,0.01325365541673796,False
race,Other,Caucasian,true_positive_rate,286,0,20,0.0,0.0,0.16112515805281938,False
race,Other,Caucasian,false_positive_rate,286,0,266,0.0,0.0,0.014235984483195078,False
race,Unknown/Not recorded,Caucasian,human_review_flag_rate,491,0,491,0.0,0.0,0.007763009247141676,False
race,Unknown/Not recorded,Caucasian,true_positive_rate,491,0,40,0.0,0.0,0.08762160119728664,False
race,Unknown/Not recorded,Caucasian,false_positive_rate,491,0,451,0.0,0.0,0.008445709480077302,False
