audit_field,group,reference_group,metric,group_denominator,reference_denominator,rate_difference,absolute_difference,raw_p_value,eligible_for_comparison,holm_adjusted_p_value,practically_large,statistically_significant,governance_action
age,[0-10),[70-80),human_review_flag_rate,44,4386,,,,False,,False,False,INSUFFICIENT_DATA
age,[0-10),[70-80),true_positive_rate,0,468,,,,False,,False,False,INSUFFICIENT_DATA
age,[0-10),[70-80),false_positive_rate,44,3918,,,,False,,False,False,INSUFFICIENT_DATA
age,[10-20),[70-80),human_review_flag_rate,140,4386,,,,False,,False,False,INSUFFICIENT_DATA
age,[10-20),[70-80),true_positive_rate,2,468,,,,False,,False,False,INSUFFICIENT_DATA
age,[10-20),[70-80),false_positive_rate,138,3918,,,,False,,False,False,INSUFFICIENT_DATA
age,[20-30),[70-80),human_review_flag_rate,285,4386,,,,False,,False,False,INSUFFICIENT_DATA
age,[20-30),[70-80),true_positive_rate,25,468,,,,False,,False,False,INSUFFICIENT_DATA
age,[20-30),[70-80),false_positive_rate,260,3918,,,,False,,False,False,INSUFFICIENT_DATA
age,[30-40),[70-80),human_review_flag_rate,697,4386,-0.20223438212494296,0.20223438212494296,2.711293514270503e-25,True,3.795810919978704e-24,True,True,REVIEW_REQUIRED
age,[30-40),[70-80),true_positive_rate,47,468,,,,False,,False,False,INSUFFICIENT_DATA
age,[30-40),[70-80),false_positive_rate,650,3918,-0.19936702399183256,0.19936702399183256,1.470793500482679e-23,True,1.912031550627483e-22,True,True,REVIEW_REQUIRED
age,[40-50),[70-80),human_review_flag_rate,1669,4386,-0.1761884934279423,0.1761884934279423,8.601063982739715e-39,True,1.6342021567205459e-37,True,True,REVIEW_REQUIRED
age,[40-50),[70-80),true_positive_rate,113,468,,,,False,,False,False,INSUFFICIENT_DATA
age,[40-50),[70-80),false_positive_rate,1556,3918,-0.17170635561136985,0.17170635561136985,3.202377921565344e-35,True,5.190266087723907e-34,True,True,REVIEW_REQUIRED
age,[50-60),[70-80),human_review_flag_rate,3094,4386,-0.14179482168538254,0.14179482168538254,2.4562524061403454e-38,True,4.4212543310526215e-37,True,True,REVIEW_REQUIRED
age,[50-60),[70-80),true_positive_rate,220,468,-0.08150738150738146,0.08150738150738146,0.0460390407617196,True,0.0920780815234392,False,False,MONITOR
age,[50-60),[70-80),false_positive_rate,2874,3918,-0.13946444918320347,0.13946444918320347,3.053097698661122e-35,True,5.190266087723907e-34,True,True,REVIEW_REQUIRED
age,[60-70),[70-80),human_review_flag_rate,3921,4386,-0.08413725804195094,0.08413725804195094,6.102432002616729e-16,True,6.712675202878402e-15,False,True,MONITOR
age,[60-70),[70-80),true_positive_rate,346,468,-0.11574279926881081,0.11574279926881081,0.0010930783762922007,True,0.004372313505168803,True,True,REVIEW_REQUIRED
