system_metric,value
real_deidentified_encounters,69990
unique_patients,69990
model_features,16
protected_demographics_used_as_model_features,False
selected_model,logistic_regression
test_records,17498
selected_model_roc_auc,0.6437645452456798
selected_model_average_precision,0.16452040826476044
fairness_governance_status,REVIEW_REQUIRED
fairness_comparisons_requiring_review,11
fairness_null_false_positive_rate,0.0
fairness_injected_disparity_detection_rate,1.0
genuine_llm_inference_executed,False
llm_drafts_generated,0
llm_drafts_passing_safety_validation,0
human_review_required,True
autonomous_contact_allowed,False
deployment_status,EDUCATIONAL DEIDENTIFIED-DATA RESEARCH PROTOTYPE
